"State","City","Year","Pop_1930","police_only","fire_only",
"Alabama","Anniston",1939,22,1,1,
"Alabama","Bessemer",1936,20,,,
"Alabama","Birmingham",1936,259,,,
"Alabama","Citronelle",1939,1,,,
"Alabama","Fairfield",1939,11,,,
"Alabama","Gadsden",1932,24,1,1,
"Alabama","Homewood",1939,6,,,
"Alabama","Mobile",1939,68,,,
"Alabama","Prichard",1939,4,,,
"Alabama","Tarrant City",1939,7,,,
"Alabama","Tuscaloosa",1931,20,1,1,
"Arizona","Mesa",1925,3,,,
"Arizona","Phoenix",1933,48,,,
"Arizona","Tuscon",1931,32,,,
"Arkansas","Camden",1933,7,,,
"Arkansas","El Dorado",1933,16,,,
"Arkansas","Fayetteville",1934,7,1,1,
"Arkansas","Fort Smith",1933,31,1,1,
"Arkansas","Fort Smith",1939,31,0,0,
"Arkansas","Helena",1933,8,1,1,
"Arkansas","Little Rock",1933,81,1,1,
"Arkansas","North Little Rock",1934,19,1,1,
"Arkansas","Pine Bluff",1933,20,1,1,
"Arkansas","Texarkana",1934,10,0,0,
"California","Alameda",1938,35,,,
"California","Albany",1935,8,1,1,
"California","Alhambra",1927,29,1,1,
"California","Antioch",1939,3,1,1,
"California","Arcadia",1940,,,,
"California","Bakersfield",1931,26,0,0,
"California","Bell",1938,7,,,
"California","Beverly Hills",1937,7,,,
"California","Berkeley",1940,,,,
"California","Burbank",1939,16,,,
"California","Burlingame",1936,13,,,
"California","Coalinga",1937,3,,,
"California","Compton",1940,,,,
"California","Culver City",1937,5,,,
"California","Emeryville",1936,2,,,
"California","Fresno",1922,52,,,
"California","Gardena",1939,15,1,1,"plus city clerks"
"California","Glendale",1933,62,,,
"California","Hawthorne",1935,6,1,1,
"California","Hermosa Beach",1934,4,1,1,
"California","Huntington Park",1938,24,1,1,
"California","Inglewood",1938,19,,,
"California","Long Beach",1921,142,,,
"California","Los Angeles",1903,1238,,,
"California","Los Gatos",1939,3,,,
"California","Lynwood",1934,7,1,1,
"California","Lodi",1941,,,,
"California","Manhattan Beach",1940,2,,,
"California","Maywood",1936,6,,,
"California","Modesto",1939,,,,
"California","Montebello",1937,5,,,
"California","Monterey Park",1934,6,,,
"California","Oakland",1911,284,,,
"California","Pasadena",1941,,,,
"California","Piedmont",1937,10,,,
"California","Redondo Beach",1939,9,,,
"California","Redwood City",1940,,,,
"California","Roseville",1938,6,,,
"California","Sacramento",1913,93,,,
"California","San Bernardino",1925,147,,,
"California","San Diego",1915,147,,,
"California","San Francisco",1900,634,,,
"California","San Gabriel",1938,7,1,1,
"California","San Jose",1916,57,,,
"California","San Leandro",1939,11,,,
"California","San Mateo",1943,,,,
"California","San Rafael",1941,,,,
"California","Santa Ana",1937,30,1,1,
"California","Santa Barbara",1937,33,1,1,
"California","Santa Cruz",1941,,,,
"California","Santa Monica",1936,37,,,
"California","Signal Hill",1937,3,,,
"California","South Gate",1936,19,,,
"California","Stockton",1937,47,,,
"California","Taft",1938,3,,,
